sentence,relation,head,head_offset,tail,tail_offset
- [Docker方式安装MindSpore CPU版本](\#docker方式安装mindspore-cpu版本),安装,Docker方式,3,MindSpore CPU,13
- [Docker方式安装MindSpore CPU版本](\#docker方式安装mindspore-cpu版本),安装,docker方式,31,mindspore-cpu,41
\# Docker方式安装MindSpore CPU版本,安装,Docker方式,2,MindSpore CPU,12
conda update mindspore-cpu -c mindspore -c conda-forge,工具安装,conda ,0,mindspore-cpu ,13
当需要升级MindSpore版本时，可执行如下命令：,使用安装,命令,23,MindSpore,5
在联网状态下，安装Conda安装包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,工具安装,Conda,9,MindSpore,23
在联网状态下，安装Conda安装包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,详情参考,依赖,40,https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,58
在联网状态下，安装Conda安装包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,使用参考,ModelZoo,156,https://gitee.com/mindspore/models/tree/r1.7/,166
在联网状态下，安装Conda安装包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,详情参考,依赖,245,(https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,269
conda install mindspore-cpu -c mindspore -c conda-forge -y,工具安装,conda ,0,mindspore-cpu,14
确认您处于Conda虚拟环境中，并执行如下命令安装最新版本的MindSpore。如需安装其他版本，可参考[版本列表](https://www.mindspore.cn/versions)在`mindspore-cpu=`后指定版本号。,使用安装,命令,21,MindSpore,30
确认您处于Conda虚拟环境中，并执行如下命令安装最新版本的MindSpore。如需安装其他版本，可参考[版本列表](https://www.mindspore.cn/versions)在`mindspore-cpu=`后指定版本号。,详情参考,版本,53,https://www.mindspore.cn/versions,59
如果希望使用其他版本Python，只需更改以上命令中的Python版本。当前支持Python 3.7，Python 3.8和Python 3.9。,使用安装,命令,23,Python,27
如果希望使用其他版本Python，只需更改以上命令中的Python版本。当前支持Python 3.7，Python 3.8和Python 3.9。,版本,Python ,40,3.7,47
如果希望使用其他版本Python，只需更改以上命令中的Python版本。当前支持Python 3.7，Python 3.8和Python 3.9。,版本,Python ,51,3.8,58
如果希望使用其他版本Python，只需更改以上命令中的Python版本。当前支持Python 3.7，Python 3.8和Python 3.9。,版本,Python ,62,3.9,69
conda activate mindspore_py37,编译安装,conda ,0,mindspore_py37,15
conda create -c conda-forge -n mindspore_py37 python=3.7.5 -y,编译安装,conda ,0,mindspore_py37 ,31
如果您希望使用Python3.7.5版本：,版本,Python,7,3.7.5,13
根据您希望使用的Python版本创建对应的Conda虚拟环境并进入虚拟环境。,工具安装,Conda,21,Python,8
sudo apt-get install gcc-8 -y,使用安装,sudo ,0,gcc,21
sudo apt-get install gcc-8 -y,版本,gcc,21,8,25
如果要安装更高版本的GCC，使用以下命令安装GCC 8。,使用安装,命令,18,GCC ,22
如果要安装更高版本的GCC，使用以下命令安装GCC 8。,版本,GCC ,22,8,26
sudo apt-get install gcc-7 libgmp-dev -y,编译安装,sudo ,0,gcc,21
sudo apt-get install gcc-7 libgmp-dev -y,版本,gcc,21,7,25
可以通过以下命令安装GCC和gmp。,使用安装,命令,6,GCC,10
可以通过以下命令安装GCC和gmp。,使用安装,命令,6,gmp,14
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,使用安装,清华源,16,Conda,9
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,详情参考,清华源,16,https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/,31
curl -O https://mirrors.tuna.tsinghua.edu.cn/anaconda/miniconda/Miniconda3-py37_4.10.3-Linux-x86_64.sh,编译安装,curl ,0,miniconda,54
执行以下指令安装Miniconda。,使用安装,指令,4,Miniconda,8
|[gmp](\#安装gcc和gmp)|6.1.2|MindSpore使用的多精度算术库|,版本,gcc,10,6.1.2,19
|[gmp](\#安装gcc和gmp)|6.1.2|MindSpore使用的多精度算术库|,版本,gmp,14,6.1.2,19
|[gmp](\#安装gcc和gmp)|6.1.2|MindSpore使用的多精度算术库|,使用安装,多精度算术库,37,MindSpore,25
|[GCC](\#安装gcc和gmp)|7.3.0到9.4.0之间|用于编译MindSpore的C++编译器|,版本,gcc,10,7.3.0,19
|[GCC](\#安装gcc和gmp)|7.3.0到9.4.0之间|用于编译MindSpore的C++编译器|,版本,gmp,14,9.4.0,25
|[GCC](\#安装gcc和gmp)|7.3.0到9.4.0之间|用于编译MindSpore的C++编译器|,工具安装,C++,47,MindSpore,37
|Ubuntu|18.04|运行MindSpore的操作系统|,上面安装,Ubuntu|18.04,1,MindSpore,16
下表列出了安装MindSpore所需的系统环境和第三方依赖。,使用安装,系统环境,19,MindSpore,7
下表列出了安装MindSpore所需的系统环境和第三方依赖。,使用安装,依赖,27,MindSpore,7
要激活虚拟环境，以Python 3.7为例，执行以下命令。,版本,Python ,9,3.7,16
要激活虚拟环境，以Python 3.7为例，执行以下命令。,创建或使用关联,命令,26,虚拟环境,3
自动安装脚本执行完成后，需要重新打开终端窗口以使环境变量生效。自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,创建或使用关联,终端窗口,18,环境变量,24
自动安装脚本执行完成后，需要重新打开终端窗口以使环境变量生效。自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,创建或使用关联,脚本,35,虚拟环境,69
自动安装脚本执行完成后，需要重新打开终端窗口以使环境变量生效。自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,版本,Python ,91,3.7,98
自动安装脚本执行完成后，需要重新打开终端窗口以使环境变量生效。自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,创建或使用关联,命令,129,虚拟环境,135
#NAME?,工具安装,Conda,4,MindSpore CPU,11
#NAME?,工具安装,Conda,4,MindSpore,11
#NAME?,工具安装,GCC,20,MindSpore,4
#NAME?,工具安装,gmp,24,MindSpore,4
\# 如需指定Python和MindSpore版本，以Python 3.9和MindSpore 1.6.0为例，使用以下方式,版本,Python ,26,3.9,33
\# 如需指定Python和MindSpore版本，以Python 3.9和MindSpore 1.6.0为例，使用以下方式,版本,MindSpore ,37,1.6.0,47
\# 默认安装Python 3.7和最新版本的MindSpore,版本,Python ,6,3.7,13
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh,编译安装,wget ,0,mindspore,23
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh,编译安装,wget ,0,mindspore,33
自动安装脚本需要更改软件源配置以及通过APT安装依赖，所以在执行中需要申请root权限。使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,使用,root,37,权限,41
自动安装脚本需要更改软件源配置以及通过APT安装依赖，所以在执行中需要申请root权限。使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,创建或使用关联,命令,48,脚本,56
自动安装脚本需要更改软件源配置以及通过APT安装依赖，所以在执行中需要申请root权限。使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,使用安装,脚本,66,1.6.0,84
自动安装脚本需要更改软件源配置以及通过APT安装依赖，所以在执行中需要申请root权限。使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,版本,MindSpore,73,1.6.0,84
- 如果您的系统已经安装了部分依赖，如Conda，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,使用安装,依赖,15,Conda,19
- 如果您的系统已经安装了部分依赖，如Conda，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,使用安装,依赖,15,GCC,25
- 如果您想在一个全新的Ubuntu 18.04上通过Conda安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,工具安装,Conda,27,MindSpore,34
- 如果您想在一个全新的Ubuntu 18.04上通过Conda安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,详情参考,脚本,53,https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh,57
- 如果您想在一个全新的Ubuntu 18.04上通过Conda安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,使用安装,脚本,170,MindSpore,175
本文档介绍如何在CPU环境的Linux系统上，使用Conda方式快速安装MindSpore。下面以Ubuntu 18.04为例说明MindSpore安装步骤。,上面安装,Linux,14,CPU,8
本文档介绍如何在CPU环境的Linux系统上，使用Conda方式快速安装MindSpore。下面以Ubuntu 18.04为例说明MindSpore安装步骤。,安装,Conda方式,25,MindSpore,36
本文档介绍如何在CPU环境的Linux系统上，使用Conda方式快速安装MindSpore。下面以Ubuntu 18.04为例说明MindSpore安装步骤。,上面安装,Ubuntu 18.04,49,MindSpore,65
[Conda](https://docs.conda.io/en/latest/)是一个开源跨平台语言无关的包管理与环境管理系统，允许用户方便地安装不同版本的二进制软件包与该计算平台需要的所有库。,使用参考,Conda,1,https://docs.conda.io/en/latest/,8
[Conda](https://docs.conda.io/en/latest/)是一个开源跨平台语言无关的包管理与环境管理系统，允许用户方便地安装不同版本的二进制软件包与该计算平台需要的所有库。,进行安装,用户,67,二进制软件包,79
- [Conda方式安装MindSpore CPU版本](\#conda方式安装mindspore-cpu版本),安装,Conda方式,3,MindSpore CPU,12
- [Conda方式安装MindSpore CPU版本](\#conda方式安装mindspore-cpu版本),安装,conda方式,30,mindspore-cpu,39
\# Conda方式安装MindSpore CPU版本,安装, Conda方式,1,MindSpore CPU,11
安装好MindSpore之后，需要导出Runtime相关环境变量，下述命令中`LOCAL_ASCEND=/usr/local/Ascend`的`/usr/local/Ascend`表示配套软件包的安装路径，需注意将其改为配套软件包的实际安装路径。,创建或使用关联,Runtime,19,环境变量,28
进入MindSpore根目录，然后执行编译脚本。,使用安装,脚本,21,MindSpore,2
git clone https://gitee.com/mindspore/mindspore.git -b r1.7,使用安装,git ,0,mindspore,28
\#\# 从代码仓下载源码,创建或使用关联,代码,4,源码,9
    sudo bash cmake-3.19.8-Linux-*.sh --prefix=/usr/local/cmake-3.19.8 --exclude-subdir,编译安装,sudo ,4,cmake,14
    sudo bash cmake-3.19.8-Linux-*.sh --prefix=/usr/local/cmake-3.19.8 --exclude-subdir,版本,cmake,14,3.19.8,20
    sudo mkdir /usr/local/cmake-3.19.8,编译安装,sudo ,4,cmake,26
    sudo mkdir /usr/local/cmake-3.19.8,版本,cmake,26,3.19.8,32
    执行安装脚本安装CMake，默认安装到`/usr/local`目录下。,使用安装,脚本,8,CMake,12
    curl -O https://cmake.org/files/v3.19/cmake-3.19.8-Linux-aarch64.sh,编译安装,curl ,4,cmake,20
    \# aarch64使用,版本, aarch,5,64,11
    curl -O https://cmake.org/files/v3.19/cmake-3.19.8-Linux-x86_64.sh,编译安装,curl ,4,cmake,20
- Ubuntu 18.04可以通过以下命令安装[CMake](https://cmake.org/)。,使用参考,CMake,25,https://cmake.org/,32
    安装完成后，需要使用如下命令切换到GCC 7。,使用安装,命令,16,GCC ,21
    安装完成后，需要使用如下命令切换到GCC 7。,版本,GCC ,21,7,25
    sudo apt-get install gcc-7 -y,编译安装,sudo ,4,gcc,25
    sudo apt-get install gcc-7 -y,版本,gcc,25,7,29
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/hccl-*-py3-none-any.whl,编译安装,pip install,0,Ascend,23
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/te-*-py3-none-any.whl,编译安装,pip install,0,Ascend,23
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/topi-*-py3-none-any.whl,编译安装,pip install ,0,Ascend,23
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,工具安装,昇腾AI处理器配套软件包,2,whl,17
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,使用安装,命令,62,昇腾AI处理器配套软件包,42
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,37,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,用户,37,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,37,权限,64
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,root用户,69,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,root用户,69,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,root用户,69,权限,64
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,78,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,用户,78,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,78,权限,64
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,版本,Ascend Data Center Solution,10,22,38
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,使用参考,Ascend Data Center Solution,10,https://support.huawei.com/enterprise/zh/doc/EDOC1100246310,54
可以通过以下命令查看Python版本。,创建或使用关联,命令,6,版本,16
conda activate mindspore_py37,编译安装,conda ,0,mindspore_py37,15
conda create -n mindspore_py37 python=3.7.5 -y,编译安装,conda ,0,mindspore_py37 ,16
创建虚拟环境，以Python 3.7.5为例：,版本,Python ,8,3.7.5,15
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,使用安装,清华源,16,Conda,9
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,详情参考,清华源,16,https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/,31
curl -O https://mirrors.tuna.tsinghua.edu.cn/anaconda/miniconda/Miniconda3-py37_4.10.3-Linux-x86_64.sh,编译安装,curl ,0,miniconda,54
[Python](https://www.python.org/)可通过Conda进行安装。,使用参考,Python,1,https://www.python.org/,9
[Python](https://www.python.org/)可通过Conda进行安装。,工具安装,Conda,36,Python,1
|[Flex](\#安装git-gmp-tclsh-patch-flex)|2.5.35及以上版本|MindSpore使用的词法分析器|,版本,git-gmp-tclsh-patch-flex,11,2.5.35,37
|[Flex](\#安装git-gmp-tclsh-patch-flex)|2.5.35及以上版本|MindSpore使用的词法分析器|,使用安装,词法分析器,61,MindSpore,49
|[gmp](\#安装git-gmp-tclsh-patch-flex)|6.1.2|MindSpore使用的多精度算术库|,版本,git-gmp-tclsh-patch-flex,10,6.1.2,36
|[gmp](\#安装git-gmp-tclsh-patch-flex)|6.1.2|MindSpore使用的多精度算术库|,使用安装,多精度算术库,54,MindSpore,42
|[CMake](\#安装cmake)|3.18.3及以上|编译构建MindSpore的工具|,版本,cmake,12,3.18.3,19
|[GCC](\#安装gcc)|7.3.0|用于编译MindSpore的C++编译器|,版本,gcc,10,7.3.0,15
|[GCC](\#安装gcc)|7.3.0|用于编译MindSpore的C++编译器|,工具安装,C++,35,MindSpore,25
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,版本,python,13,3.7,21
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,版本,python,13,3.9,25
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,工具安装,Python,43,MindSpore,29
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,Ubuntu 18.04,1,MindSpore,44
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,CentOS 7.6,14,MindSpore,44
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,EulerOS 2.8,25,MindSpore,44
下表列出了编译安装MindSpore所需的系统环境和第三方依赖。,使用安装,系统环境,21,MindSpore,9
下表列出了编译安装MindSpore所需的系统环境和第三方依赖。,使用安装,依赖,29,MindSpore,9
现在您可以跳转到[从代码仓下载源码](\#从代码仓下载源码)小节开始下载编译MindSpore。,创建或使用关联,代码,10,源码,15
现在您可以跳转到[从代码仓下载源码](\#从代码仓下载源码)小节开始下载编译MindSpore。,创建或使用关联,代码,21,源码,26
现在您可以跳转到[从代码仓下载源码](\#从代码仓下载源码)小节开始下载编译MindSpore。,使用安装,源码,15,MindSpore,37
现在您可以跳转到[从代码仓下载源码](\#从代码仓下载源码)小节开始下载编译MindSpore。,使用安装,源码,26,MindSpore,37
conda activate mindspore_py37,编译安装,conda ,0,mindspore_py37,15
以Python 3.7为例，执行以下命令激活虚拟环境。,版本,Python ,1,3.7,8
以Python 3.7为例，执行以下命令激活虚拟环境。,创建或使用关联,命令,18,虚拟环境,22
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,使用安装,脚本,4,MindSpore,8
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,创建或使用关联,脚本,4,虚拟环境,38
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,版本,Python ,60,3.7,67
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,创建或使用关联,命令,98,虚拟环境,104
自动安装脚本执行完成后，需要重新打开终端窗口以使环境变量生效。,创建或使用关联,终端窗口,18,环境变量,24
#NAME?,版本,Python,4,3,10
#NAME?,版本,pip,12,3,15
#NAME?,工具安装,GCC,22,MindSpore,4
#NAME?,工具安装,CMake,26,MindSpore,4
\# 如需指定安装Python 3.9，且指定LOCAL_ASCEND路径为/home/xxx/Ascend，使用以下方式,版本,Python ,8,3.9,15
\# 默认安装Python 3.7,版本,Python ,6,3.7,13
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-source.sh,编译安装,wget ,0,mindspore,23
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-source.sh,编译安装,wget ,0,mindspore,33
使用以下命令获取自动安装脚本并执行。通过自动安装脚本配置的环境，仅支持编译MindSpore>=1.6.0。,创建或使用关联,命令,4,脚本,12
使用以下命令获取自动安装脚本并执行。通过自动安装脚本配置的环境，仅支持编译MindSpore>=1.6.0。,使用安装,脚本,24,MindSpore,37
使用以下命令获取自动安装脚本并执行。通过自动安装脚本配置的环境，仅支持编译MindSpore>=1.6.0。,版本,MindSpore,37,1.6.0,48
在使用自动安装脚本之前，需要确保系统正确安装了昇腾AI处理器配套软件包。如果没有安装，请先参考[安装昇腾AI处理器配套软件包](\#安装昇腾ai处理器配套软件包)小节进行安装。,使用安装,脚本,7,昇腾AI处理器配套软件包,23
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如Python，GCC等，则推荐参照[环境准备-手动](\#环境准备-手动)小节的安装步骤手动安装。,上面安装,Ubuntu 18.04,9,Python,46
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如Python，GCC等，则推荐参照[环境准备-手动](\#环境准备-手动)小节的安装步骤手动安装。,上面安装,Ubuntu 18.04,9,GCC,53
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如Python，GCC等，则推荐参照[环境准备-手动](\#环境准备-手动)小节的安装步骤手动安装。,上面安装,CentOS 7.6,22,Python,46
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如Python，GCC等，则推荐参照[环境准备-手动](\#环境准备-手动)小节的安装步骤手动安装。,上面安装,CentOS 7.6,22,GCC,53
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上配置一个可以编译MindSpore的环境，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-source.sh)进行一键式配置，参见[环境准备-自动，推荐](\#环境准备-自动推荐)小节。自动安装脚本会安装编译MindSpore所需的依赖。,上面安装,EulerOS 2.8,27,昇腾AI处理器配套软件包,14
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上配置一个可以编译MindSpore的环境，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-source.sh)进行一键式配置，参见[环境准备-自动，推荐](\#环境准备-自动推荐)小节。自动安装脚本会安装编译MindSpore所需的依赖。,上面安装,EulerOS 2.8,27,MindSpore,47
