sentence,relation,head,head_offset,tail,tail_offset
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上配置一个可以编译MindSpore的环境，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-source.sh)进行一键式配置，参见[环境准备-自动，推荐](\#环境准备-自动推荐)小节。自动安装脚本会安装编译MindSpore所需的依赖。,使用安装,脚本,69,MindSpore,47
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上配置一个可以编译MindSpore的环境，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-source.sh)进行一键式配置，参见[环境准备-自动，推荐](\#环境准备-自动推荐)小节。自动安装脚本会安装编译MindSpore所需的依赖。,详情参考,脚本,69,https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-source.sh,73
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上配置一个可以编译MindSpore的环境，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-source.sh)进行一键式配置，参见[环境准备-自动，推荐](\#环境准备-自动推荐)小节。自动安装脚本会安装编译MindSpore所需的依赖。,使用安装,脚本,202,MindSpore,209
本文档介绍如何在Ascend 310环境的Linux系统上，使用源码编译方式快速安装MindSpore，Ascend 310版本仅支持推理。,上面安装,Linux,21,Ascend ,8
本文档介绍如何在Ascend 310环境的Linux系统上，使用源码编译方式快速安装MindSpore，Ascend 310版本仅支持推理。,版本,Ascend ,8,310,15
本文档介绍如何在Ascend 310环境的Linux系统上，使用源码编译方式快速安装MindSpore，Ascend 310版本仅支持推理。,安装,源码编译方式,32,MindSpore,42
本文档介绍如何在Ascend 310环境的Linux系统上，使用源码编译方式快速安装MindSpore，Ascend 310版本仅支持推理。,安装,源码编译方式,32,Ascend ,52
本文档介绍如何在Ascend 310环境的Linux系统上，使用源码编译方式快速安装MindSpore，Ascend 310版本仅支持推理。,版本,Ascend ,52,310,59
    - [从代码仓下载源码](\#从代码仓下载源码),创建或使用关联,代码,8,源码,13
    - [从代码仓下载源码](\#从代码仓下载源码),创建或使用关联,代码,19,源码,24
- [源码编译方式安装MindSpore Ascend 310版本](\#源码编译方式安装mindspore-ascend-310版本),安装,源码编译方式,3,MindSpore Ascend ,11
- [源码编译方式安装MindSpore Ascend 310版本](\#源码编译方式安装mindspore-ascend-310版本),版本,MindSpore Ascend ,11,310,28
- [源码编译方式安装MindSpore Ascend 310版本](\#源码编译方式安装mindspore-ascend-310版本),安装,源码编译方式,36,mindspore-ascend,44
- [源码编译方式安装MindSpore Ascend 310版本](\#源码编译方式安装mindspore-ascend-310版本),版本,mindspore-ascend,44,310,61
\# 源码编译方式安装MindSpore Ascend 310版本,安装,源码编译方式,2,MindSpore Ascend,10
\# 源码编译方式安装MindSpore Ascend 310版本,版本,MindSpore Ascend,10,310,27
"创建目录放置样例代码工程，例如`/home/HwHiAiUser/Ascend/ascend-toolkit/20.0.RC1/acllib_linux.arm64/sample/acl_execute_model/ascend310_single_op_sample`，代码可以从[官网示例下载](https://obs.dualstack.cn-north-4.myhuaweicloud.com/mindspore-website/sample_resources/ascend310_single_op_sample.zip)获取，这是一个`[1\, 2\, 3\, 4]`与`[2\, 3\, 4\, 5]`相加的简单样例，代码工程目录结构如下:",详情参考,代码,136,https://obs.dualstack.cn-north-4.myhuaweicloud.com/mindspore-website/sample_resources/ascend310_single_op_sample.zip,150
安装好MindSpore之后，需要导出Runtime相关环境变量，下述命令中`LOCAL_ASCEND=/usr/local/Ascend`的`/usr/local/Ascend`表示配套软件包的安装路径，需注意将其改为配套软件包的实际安装路径。,创建或使用关联,Runtime,19,环境变量,28
在联网状态下，安装whl包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,工具安装,whl,9,MindSpore,19
在联网状态下，安装whl包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,详情参考,依赖,36,https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,54
在联网状态下，安装whl包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,使用参考,ModelZoo,152,https://gitee.com/mindspore/models/tree/r1.7/,162
在联网状态下，安装whl包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,详情参考,依赖,241,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,266
\# aarch64 + Python3.9,版本,aarch,2,64,7
\# aarch64 + Python3.9,版本,Python,12,3.9,18
\# aarch64 + Python3.8,版本,aarch,2,64,7
\# aarch64 + Python3.8,版本,Python,12,3.8,18
\# aarch64 + Python3.7,版本,aarch,2,64,7
\# aarch64 + Python3.7,版本,Python,12,3.7,18
\# x86_64 + Python3.9,版本,Python,11,3.9,17
\# x86_64 + Python3.7,版本,Python,11,3.7,17
然后根据系统架构及Python版本执行如下命令安装MindSpore。,工具安装,Python,9,MindSpore,25
然后根据系统架构及Python版本执行如下命令安装MindSpore。,使用安装,命令,21,MindSpore,25
首先参考[版本列表](https://www.mindspore.cn/versions)选择想要安装的MindSpore版本，并进行SHA-256完整性校验。以1.7.0版本为例，执行以下命令。,详情参考,版本,5,https://www.mindspore.cn/versions,11
首先参考[版本列表](https://www.mindspore.cn/versions)选择想要安装的MindSpore版本，并进行SHA-256完整性校验。以1.7.0版本为例，执行以下命令。,使用安装,命令,95,MindSpore,52
首先参考[版本列表](https://www.mindspore.cn/versions)选择想要安装的MindSpore版本，并进行SHA-256完整性校验。以1.7.0版本为例，执行以下命令。,版本,MindSpore,52,1.7.0,81
"    echo -e ""export PATH=/usr/local/cmake-3.19.8/bin:\$PATH"" >> ~/.bashrc",使用安装,echo ,4,cmake,36
"    echo -e ""export PATH=/usr/local/cmake-3.19.8/bin:\$PATH"" >> ~/.bashrc",版本,cmake,36,3.19.8,42
    sudo bash cmake-3.19.8-Linux-*.sh --prefix=/usr/local/cmake-3.19.8 --exclude-subdir,使用安装,sudo,4,cmake,14
    sudo bash cmake-3.19.8-Linux-*.sh --prefix=/usr/local/cmake-3.19.8 --exclude-subdir,版本,cmake,14,3.19.8,20
    sudo mkdir /usr/local/cmake-3.19.8,编译安装,sudo ,4,cmake,26
    sudo mkdir /usr/local/cmake-3.19.8,版本,cmake,26,3.19.8,32
    执行安装脚本安装CMake，默认安装到`/usr/local`目录下。,使用安装,脚本,8,CMake,12
- Ubuntu 18.04可以通过以下命令安装[CMake](https://cmake.org/)。,使用参考,CMake,25,https://cmake.org/,32
    sudo yum install gcc -y,编译安装,sudo ,4,gcc ,21
    安装完成后，需要使用如下命令切换到GCC 7。,使用安装,命令,16,GCC,21
    安装完成后，需要使用如下命令切换到GCC 7。,版本,GCC,21,7,25
    sudo apt-get install gcc-7 -y,编译安装,sudo ,4,gcc,25
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/hccl-*-py3-none-any.whl,编译安装,pip install,0,Ascend,23
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/te-*-py3-none-any.whl,编译安装,pip install,0,Ascend,23
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/topi-*-py3-none-any.whl,编译安装,pip ,0,Ascend,23
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,工具安装,AI处理器配套软件包,4,whl,17
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,使用安装,命令,62,昇腾AI处理器配套软件包,42
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,37,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,用户,37,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,37,权限,64
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,root用户,69,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,root用户,69,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,root用户,69,权限,64
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,78,权限,40
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,进行安装,用户,78,昇腾AI处理器配套软件包,44
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,使用,用户,78,权限,64
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,版本,Ascend Data Center Solution,10,22,38
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,使用参考,Ascend Data Center Solution,10,https://support.huawei.com/enterprise/zh/doc/EDOC1100246310,54
python -m pip install -U pip,编译安装,python ,0,pip,25
如果您的环境为ARM架构，请确认当前使用的Python配套的pip版本>=19.3。使用以下命令升级pip。,版本,pip,30,19.3,37
如果您的环境为ARM架构，请确认当前使用的Python配套的pip版本>=19.3。使用以下命令升级pip。,使用安装,命令,46,pip,50
可以通过以下命令查看Python版本。,创建或使用关联,命令,6,版本,16
conda create -n mindspore_py37 python=3.7.5 -y,编译安装,conda ,0,mindspore_py37 ,16
创建虚拟环境，以Python 3.7.5为例：,版本,Python ,8,3.7.5,15
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,使用安装,清华源,16,Conda,9
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,详情参考,清华源,16,https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/,31
curl -O https://mirrors.tuna.tsinghua.edu.cn/anaconda/miniconda/Miniconda3-py37_4.10.3-Linux-x86_64.sh,编译安装,curl ,0,miniconda,54
[Python](https://www.python.org/)可通过Conda进行安装。,工具安装,Conda,36,Python,1
[Python](https://www.python.org/)可通过Conda进行安装。,使用参考,Python,1,https://www.python.org/,9
|[CMake](\#安装cmake)|3.18.3及以上|编译构建MindSpore的工具|,版本,cmake,12,3.18.3,19
|[gmp](\#安装gmp)|6.1.2|MindSpore使用的多精度算术库|,版本,gmp,10,6.1.2,15
|[gmp](\#安装gmp)|6.1.2|MindSpore使用的多精度算术库|,使用安装,多精度算术库,33,MindSpore,21
|[GCC](\#安装gcc)|7.3.0|用于编译MindSpore的C++编译器|,版本,gcc,10,7.3.0,15
|[GCC](\#安装gcc)|7.3.0|用于编译MindSpore的C++编译器|,工具安装,C++,35,MindSpore,25
|[昇腾AI处理器配套软件包](\#安装昇腾ai处理器配套软件包)|-|MindSpore使用的Ascend平台AI计算库|,工具安装,昇腾AI处理器配套软件包,2,MindSpore,35
|[昇腾AI处理器配套软件包](\#安装昇腾ai处理器配套软件包)|-|MindSpore使用的Ascend平台AI计算库|,工具安装,昇腾AI处理器配套软件包,2,Ascend,47
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,工具安装,Python,43,MindSpore,29
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,版本,python,13,3.7,21
|[Python](\#安装python)|3.7-3.9|MindSpore的使用依赖Python环境|,版本,python,13,3.9,25
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,Ubuntu 18.04,1,MindSpore,44
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,CentOS 7.6,14,MindSpore,44
|Ubuntu 18.04/CentOS 7.6/EulerOS 2.8|-|编译和运行MindSpore的操作系统|,上面安装,EulerOS 2.8,25,MindSpore,44
conda activate mindspore_py37,工具安装,conda,0,mindspore,15
以Python 3.7为例，执行以下命令激活虚拟环境。,版本,Python ,1,3.7,8
以Python 3.7为例，执行以下命令激活虚拟环境。,创建或使用关联,命令,18,虚拟环境,22
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,使用安装,脚本,4,MindSpore,8
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,创建或使用关联,脚本,4,虚拟环境,38
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,版本,Python ,60,3.7,67
自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,创建或使用关联,命令,98,虚拟环境,104
在脚本执行完成后，需要重新打开终端窗口以使环境变量生效。,创建或使用关联,终端窗口,15,环境变量,21
- 通过pip安装MindSpore Ascend 310版本。,工具安装,pip,4,MindSpore Ascend,9
- 通过pip安装MindSpore Ascend 310版本。,版本,MindSpore Ascend,9,310,26
#NAME?,安装,APT,4,Python3,9
#NAME?,安装,APT,4,pip3,17
#NAME?,工具安装,GCC,20,MindSpore,4
#NAME?,工具安装,gmp,24,MindSpore,4
\# 如需指定Python和MindSpore版本，以Python 3.9和MindSpore 1.6.0为例,版本,Python ,26,3.9,33
\# 如需指定Python和MindSpore版本，以Python 3.9和MindSpore 1.6.0为例,版本,MindSpore ,37,1.6.0,47
\# 安装MindSpore 1.7.0和Python 3.7,版本,MindSpore ,4,1.7.0,14
\# 安装MindSpore 1.7.0和Python 3.7,版本,Python ,20,3.7,27
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend310-pip.sh,编译安装,wget ,0,mindspore,23
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend310-pip.sh,编译安装,wget ,0,mindspore,33
使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,创建或使用关联,命令,4,脚本,12
使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,使用安装,脚本,22,MindSpore,29
使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,版本,MindSpore,29,1.6.0,40
在使用自动安装脚本之前，需要确保系统正确安装了昇腾AI处理器配套软件包。如果没有安装，请先参考[安装昇腾AI处理器配套软件包](\#安装昇腾ai处理器配套软件包)小节进行安装。,使用安装,脚本,7,昇腾AI处理器配套软件包,23
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如Python，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,Ubuntu 18.04,9,Python,46
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如Python，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,Ubuntu 18.04,9,GCC,53
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如Python，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,CentOS 7.6,22,Python,46
- 如果您的系统是Ubuntu 18.04/CentOS 7.6，或者已经安装了部分依赖，如Python，GCC等，则推荐参照[手动安装](\#手动安装)小节的安装步骤手动安装。,上面安装,CentOS 7.6,22,GCC,53
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上通过pip安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend310-pip.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,上面安装,EulerOS 2.8,27,昇腾AI处理器配套软件包,14
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上通过pip安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend310-pip.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,工具安装,pip,41,MindSpore,46
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上通过pip安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend310-pip.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,详情参考,脚本,65,https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend310-pip.sh,69
- 如果您想在一个已经配置好昇腾AI处理器配套软件包的EulerOS 2.8上通过pip安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend310-pip.sh)进行一键式安装，参见[自动安装](\#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,使用安装,脚本,187,MindSpore,192
本文档介绍如何在Ascend 310环境的Linux系统上，使用pip方式快速安装MindSpore，Ascend 310版本仅支持推理。,上面安装,Linux,21,Ascend,8
本文档介绍如何在Ascend 310环境的Linux系统上，使用pip方式快速安装MindSpore，Ascend 310版本仅支持推理。,版本,Ascend,8,310,15
本文档介绍如何在Ascend 310环境的Linux系统上，使用pip方式快速安装MindSpore，Ascend 310版本仅支持推理。,安装,pip方式,32,MindSpore,41
本文档介绍如何在Ascend 310环境的Linux系统上，使用pip方式快速安装MindSpore，Ascend 310版本仅支持推理。,安装,pip方式,32,Ascend ,51
本文档介绍如何在Ascend 310环境的Linux系统上，使用pip方式快速安装MindSpore，Ascend 310版本仅支持推理。,版本,Ascend ,51,310,58
- [pip方式安装MindSpore Ascend 310版本](\#pip方式安装mindspore-ascend-310版本),安装,pip方式,3,MindSpore Ascend,10
- [pip方式安装MindSpore Ascend 310版本](\#pip方式安装mindspore-ascend-310版本),版本,MindSpore Ascend,10,310,27
- [pip方式安装MindSpore Ascend 310版本](\#pip方式安装mindspore-ascend-310版本),安装,pip方式,35,mindspore-ascend,42
- [pip方式安装MindSpore Ascend 310版本](\#pip方式安装mindspore-ascend-310版本),版本,mindspore-ascend,42,310,59
\# pip方式安装MindSpore Ascend 310版本,安装,pip方式,2,MindSpore Ascend,9
\# pip方式安装MindSpore Ascend 310版本,版本,MindSpore Ascend,9,310,26
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/hccl-*-py3-none-any.whl,编译安装,pip install,0,Ascend,23
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/te-*-py3-none-any.whl,编译安装,pip install,0,Ascend,23
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/topi-*-py3-none-any.whl,编译安装,pip install,0,Ascend,23
注意：升级MindSpore Ascend版本conda安装包后请重新安装昇腾AI处理器配套软件包提供的whl包。首先卸载旧版本：,工具安装,昇腾AI处理器配套软件包,37,whl,52
注意：升级MindSpore Ascend版本conda安装包后请重新安装昇腾AI处理器配套软件包提供的whl包。首先卸载旧版本：,工具安装,whl,52,MindSpore Ascend,5
注意：升级MindSpore Ascend版本conda安装包后请重新安装昇腾AI处理器配套软件包提供的whl包。首先卸载旧版本：,工具安装,whl,52,conda,23
当需要升级MindSpore版本时，可执行如下命令：,使用安装,命令,23,MindSpore,5
"创建目录放置样例代码工程，例如`/home/HwHiAiUser/Ascend/ascend-toolkit/20.0.RC1/acllib_linux.arm64/sample/acl_execute_model/ascend310_single_op_sample`，代码可以从[官网示例下载](https://obs.dualstack.cn-north-4.myhuaweicloud.com/mindspore-website/sample_resources/ascend310_single_op_sample.zip)获取，这是一个`[1\, 2\, 3\, 4]`与`[2\, 3\, 4\, 5]`相加的简单样例，代码工程目录结构如下:",详情参考,代码,136,https://obs.dualstack.cn-north-4.myhuaweicloud.com/mindspore-website/sample_resources/ascend310_single_op_sample.zip,150
安装好MindSpore之后，需要导出Runtime相关环境变量，下述命令中`LOCAL_ASCEND=/usr/local/Ascend`的`/usr/local/Ascend`表示配套软件包的安装路径，需注意将其改为配套软件包的实际安装路径。,创建或使用关联,Runtime,19,环境变量,28
在联网状态下，安装Conda安装包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,工具安装,Conda,9,MindSpore,23
在联网状态下，安装Conda安装包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,详情参考,依赖,40,https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,58
